INDEX;STRING;DATE
1;AAAA;05/01/2014
2;JJJJ;18/09/2017
3;HHHH;02/02/2013
4;ZZZZ;08/12/2018
5;DDDD;10/11/2012
6;NNNN;07/01/2017
7;PPPP;10/05/2011
8;AAAA;22/10/2017
9;GGGG;28/08/2014
10;DDDD;29/06/2019
11;LLLL;27/02/2017
12;IIII;01/11/2013
13;RRRR;22/04/2018
14;KKKK;25/10/2010
15;SSSS;14/04/2016
16;BBBB;22/03/2014
17;NNNN;25/07/2012
18;SSSS;10/03/2016
19;QQQQ;24/12/2015
20;WWWW;21/08/2010
21;XXXX;07/10/2012
22;OOOO;13/02/2015
23;YYYY;23/08/2010
24;TTTT;26/11/2016
25;HHHH;19/06/2012
26;EEEE;27/08/2018
27;IIII;11/10/2012
28;VVVV;23/04/2016
29;NNNN;07/10/2012
30;BBBB;06/07/2017
31;UUUU;02/12/2011
32;EEEE;02/10/2019
33;HHHH;02/06/2011
34;AAAA;21/12/2012
35;SSSS;08/01/2019
36;PPPP;30/11/2019
37;GGGG;26/04/2016
38;UUUU;09/12/2019
39;FFFF;18/10/2013
40;CCCC;09/08/2013
41;MMMM;12/12/2015
42;KKKK;26/08/2010
43;SSSS;21/12/2015
44;GGGG;25/10/2015
45;BBBB;05/11/2016
46;UUUU;10/09/2014
47;LLLL;13/08/2017
48;AAAA;17/09/2014
49;GGGG;29/09/2018
50;OOOO;21/01/2020